iter	Passed	Remaining
0	25	5003
1	51	5064
2	91	6005
3	135	6629
4	150	5866
5	174	5646
6	205	5665
7	228	5491
8	267	5680
9	282	5358
10	296	5095
11	310	4858
12	339	4889
13	353	4693
14	384	4744
15	412	4742
16	429	4628
17	443	4486
18	465	4435
19	480	4320
20	494	4213
21	507	4109
22	544	4189
23	567	4158
24	589	4129
25	621	4161
26	642	4118
27	676	4154
28	716	4223
29	729	4135
30	760	4147
31	794	4170
32	825	4176
33	862	4211
34	879	4145
35	916	4176
36	930	4098
37	972	4146
38	986	4070
39	999	3999
40	1016	3941
41	1054	3966
42	1080	3943
43	1105	3920
44	1122	3867
45	1160	3885
46	1174	3823
47	1214	3846
48	1228	3784
49	1264	3794
50	1278	3736
51	1318	3753
52	1332	3695
53	1363	3686
54	1396	3681
55	1436	3693
56	1476	3704
57	1496	3664
58	1542	3686
59	1568	3659
60	1591	3625
61	1623	3613
62	1645	3577
63	1680	3570
64	1694	3518
65	1732	3517
66	1755	3484
67	1795	3484
68	1816	3449
69	1856	3447
70	1877	3411
71	1917	3409
72	1931	3360
73	1970	3354
74	2008	3346
75	2044	3336
76	2060	3292
77	2093	3274
78	2109	3230
79	2150	3226
80	2164	3180
81	2187	3148
82	2225	3136
83	2238	3091
84	2265	3065
85	2302	3051
86	2331	3028
87	2345	2984
88	2368	2953
89	2381	2910
90	2394	2867
91	2417	2837
92	2431	2797
93	2453	2766
94	2485	2746
95	2499	2708
96	2514	2670
97	2539	2642
98	2579	2631
99	2599	2599
100	2620	2568
101	2660	2556
102	2694	2537
103	2731	2521
104	2751	2489
105	2765	2452
106	2796	2430
107	2826	2407
108	2861	2388
109	2875	2352
110	2888	2316
111	2902	2280
112	2930	2256
113	2953	2228
114	2991	2211
115	3013	2181
116	3053	2166
117	3088	2146
118	3110	2117
119	3138	2092
120	3175	2073
121	3215	2055
122	3236	2026
123	3275	2007
124	3309	1985
125	3344	1964
126	3359	1930
127	3381	1901
128	3417	1880
129	3441	1853
130	3458	1821
131	3498	1802
132	3539	1782
133	3577	1761
134	3618	1742
135	3639	1712
136	3652	1679
137	3664	1646
138	3680	1615
139	3695	1583
140	3709	1552
141	3739	1527
142	3777	1505
143	3819	1485
144	3860	1464
145	3876	1433
146	3888	1402
147	3922	1378
148	3962	1356
149	3975	1325
150	4008	1300
151	4035	1274
152	4071	1250
153	4083	1219
154	4107	1192
155	4147	1169
156	4184	1146
157	4218	1121
158	4255	1097
159	4283	1070
160	4319	1046
161	4342	1018
162	4363	990
163	4400	966
164	4423	938
165	4436	908
166	4474	884
167	4508	858
168	4524	829
169	4560	804
170	4597	779
171	4619	752
172	4640	724
173	4680	699
174	4694	670
